county,todays_date,hospitalized_covid_confirmed_patients,hospitalized_suspected_covid_patients,hospitalized_covid_patients,all_hospital_beds,icu_covid_confirmed_patients,icu_suspected_covid_patients,icu_available_beds
Riverside,2020-03-29T00:00:00,44.0,78.0,,,13.0,20.0,46.0
San Joaquin,2020-03-29T00:00:00,34.0,35.0,,,5.0,2.0,7.0
Sonoma,2020-03-29T00:00:00,7.0,20.0,,,2.0,5.0,12.0
Alameda,2020-03-29T00:00:00,36.0,91.0,,,20.0,16.0,119.0
Mendocino,2020-03-29T00:00:00,1.0,11.0,,,0.0,0.0,1.0
Orange,2020-03-29T00:00:00,74.0,167.0,,,31.0,40.0,131.0
Tehama,2020-03-29T00:00:00,0.0,0.0,,,0.0,0.0,2.0
Marin,2020-03-29T00:00:00,7.0,13.0,,,2.0,6.0,11.0
Kings,2020-03-29T00:00:00,2.0,5.0,,,1.0,0.0,2.0
Ventura,2020-03-29T00:00:00,24.0,85.0,,,5.0,19.0,14.0
Stanislaus,2020-03-29T00:00:00,20.0,48.0,,,9.0,8.0,25.0
Colusa,2020-03-29T00:00:00,,,,,,,
San Bernardino,2020-03-29T00:00:00,33.0,123.0,,,19.0,20.0,65.0
Shasta,2020-03-29T00:00:00,0.0,0.0,,,0.0,0.0,
San Mateo,2020-03-29T00:00:00,46.0,27.0,,,16.0,10.0,28.0
Butte,2020-03-29T00:00:00,,,,,,,
Monterey,2020-03-29T00:00:00,2.0,16.0,,,1.0,2.0,10.0
Imperial,2020-03-29T00:00:00,5.0,100.0,,,1.0,2.0,2.0
Tulare,2020-03-29T00:00:00,6.0,13.0,,,5.0,3.0,7.0
Fresno,2020-03-29T00:00:00,8.0,116.0,,,3.0,14.0,22.0
Calaveras,2020-03-29T00:00:00,,,,,,,
Siskiyou,2020-03-29T00:00:00,0.0,0.0,,,0.0,0.0,2.0
Nevada,2020-03-29T00:00:00,23.0,,,,1.0,0.0,3.0
Placer,2020-03-29T00:00:00,18.0,14.0,,,4.0,1.0,10.0
Del Norte,2020-03-29T00:00:00,1.0,2.0,,,0.0,0.0,3.0
Sutter,2020-03-29T00:00:00,0.0,0.0,,,0.0,0.0,
El Dorado,2020-03-29T00:00:00,0.0,6.0,,,0.0,3.0,3.0
Inyo,2020-03-29T00:00:00,,,,,,,
Yuba,2020-03-29T00:00:00,2.0,12.0,,,2.0,4.0,2.0
Madera,2020-03-29T00:00:00,1.0,6.0,,,1.0,1.0,8.0
Modoc,2020-03-29T00:00:00,0.0,0.0,,,0.0,0.0,
Amador,2020-03-29T00:00:00,1.0,0.0,,,0.0,0.0,2.0
Humboldt,2020-03-29T00:00:00,1.0,10.0,,,0.0,0.0,18.0
Napa,2020-03-29T00:00:00,0.0,26.0,,,,,5.0
Yolo,2020-03-29T00:00:00,2.0,3.0,,,1.0,1.0,0.0
Contra Costa,2020-03-29T00:00:00,23.0,62.0,,,8.0,15.0,62.0
San Diego,2020-03-29T00:00:00,121.0,211.0,,,77.0,39.0,205.0
Sacramento,2020-03-29T00:00:00,36.0,27.0,,,12.0,18.0,50.0
Santa Cruz,2020-03-29T00:00:00,0.0,0.0,,,0.0,0.0,
Los Angeles,2020-03-29T00:00:00,489.0,1132.0,,,191.0,182.0,345.0
Kern,2020-03-29T00:00:00,16.0,57.0,,,8.0,8.0,39.0
Solano,2020-03-29T00:00:00,7.0,27.0,,,4.0,1.0,28.0
San Luis Obispo,2020-03-29T00:00:00,7.0,12.0,,,3.0,4.0,948.0
Lassen,2020-03-29T00:00:00,0.0,2.0,,,0.0,0.0,
Lake,2020-03-29T00:00:00,0.0,1.0,,,0.0,1.0,2.0
Plumas,2020-03-29T00:00:00,0.0,1.0,,,0.0,1.0,
Glenn,2020-03-29T00:00:00,,,,,,,
San Benito,2020-03-29T00:00:00,1.0,1.0,,,1.0,0.0,1.0
Trinity,2020-03-29T00:00:00,0.0,0.0,,,0.0,0.0,
Mono,2020-03-29T00:00:00,0.0,1.0,,,0.0,0.0,2.0
Merced,2020-03-29T00:00:00,1.0,7.0,,,0.0,0.0,3.0
Santa Clara,2020-03-29T00:00:00,141.0,72.0,,,65.0,15.0,70.0
San Francisco,2020-03-29T00:00:00,50.0,73.0,,,24.0,10.0,61.0
Santa Barbara,2020-03-29T00:00:00,15.0,21.0,,,9.0,3.0,47.0
Tuolumne,2020-03-29T00:00:00,1.0,5.0,,,0.0,0.0,0.0
Trinity,2020-03-30T00:00:00,0.0,0.0,,,0.0,0.0,
San Luis Obispo,2020-03-30T00:00:00,5.0,11.0,,,3.0,4.0,957.0
Sutter,2020-03-30T00:00:00,0.0,0.0,,,0.0,0.0,
Nevada,2020-03-30T00:00:00,26.0,17.0,,,2.0,5.0,3.0
Modoc,2020-03-30T00:00:00,0.0,31.0,,,0.0,0.0,
Merced,2020-03-30T00:00:00,1.0,9.0,,,0.0,2.0,11.0
Contra Costa,2020-03-30T00:00:00,25.0,54.0,,,11.0,6.0,90.0
Shasta,2020-03-30T00:00:00,1.0,4.0,,,0.0,0.0,13.0
Mono,2020-03-30T00:00:00,0.0,1.0,,,0.0,0.0,2.0
Marin,2020-03-30T00:00:00,10.0,9.0,,,4.0,2.0,16.0
Kern,2020-03-30T00:00:00,18.0,123.0,,,6.0,8.0,51.0
San Bernardino,2020-03-30T00:00:00,67.0,179.0,,,27.0,33.0,66.0
Lake,2020-03-30T00:00:00,0.0,1.0,,,0.0,1.0,3.0
Yuba,2020-03-30T00:00:00,3.0,17.0,,,2.0,4.0,10.0
Imperial,2020-03-30T00:00:00,19.0,109.0,,,3.0,3.0,4.0
Siskiyou,2020-03-30T00:00:00,0.0,0.0,,,0.0,0.0,3.0
Riverside,2020-03-30T00:00:00,60.0,133.0,,,22.0,33.0,77.0
San Francisco,2020-03-30T00:00:00,58.0,92.0,,,18.0,7.0,90.0
Orange,2020-03-30T00:00:00,98.0,251.0,,,42.0,58.0,131.0
Kings,2020-03-30T00:00:00,2.0,12.0,,,1.0,2.0,0.0
Los Angeles,2020-03-30T00:00:00,601.0,1277.0,,,245.0,244.0,456.0
Ventura,2020-03-30T00:00:00,25.0,82.0,,,5.0,28.0,15.0
