"out","var","tim","lag","estimate","std.error","p.value","aic","nrow"
"hosp_rate","aerosols","recent",0,1.1849109522709e-06,6.07819909460968e-07,0.0514176813348178,-27532.3720387015,1624
"death_rate","aerosols","recent",0,-4.42565705424543e-08,5.0763097489273e-08,0.383359356138266,-79522.6592604314,3778
"case_rate","aerosols","recent",0,1.20873118107482e-06,1.09695351925584e-06,0.270576674886107,-56302.1462143567,3778
"hosp_rate","pm25","recent",0,-1.02894507475919e-07,2.93404786744336e-08,0.000471776738460767,-18845.9858093787,1116
"death_rate","pm25","recent",0,-3.11704855679939e-09,1.77663401236566e-09,0.0794737878423026,-53301.8200127525,2504
"case_rate","pm25","recent",0,-1.34887312968018e-07,4.61753329739903e-08,0.00351838310484403,-36987.1323745062,2504
"hosp_rate","aerosols_bin","recent",0,4.98287422554058e-06,5.1374019118992e-06,0.332233088489433,-27529.4611361287,1624
"death_rate","aerosols_bin","recent",0,-1.76891603632566e-07,4.44622056114995e-07,0.690765546984382,-79522.0525582983,3778
"case_rate","aerosols_bin","recent",0,8.16884003483024e-06,9.60781665913335e-06,0.395252355058823,-56301.6509865708,3778
"hosp_rate","pm25_bin","recent",0,6.5680720652731e-06,4.85656111260348e-06,0.176523759125876,-18835.3452959012,1116
"death_rate","pm25_bin","recent",0,-4.77348332365388e-08,3.07747758976931e-07,0.876747025703914,-53298.7370408366,2504
"case_rate","pm25_bin","recent",0,-1.09526513787341e-06,8.00726432721513e-06,0.891212688039429,-36978.5466167765,2504
"hosp_rate","aerosols","long.term",0,1.09672640306922e-05,8.5092066662575e-07,1.10399403734153e-37,-148488.426339869,9374
"death_rate","aerosols","long.term",0,1.09160959870091e-07,2.77464639615212e-07,0.69401115775783,-361724.006712577,20927
"case_rate","aerosols","long.term",0,1.01370395061553e-05,2.7165737907545e-06,0.000190810443592568,-266236.900334591,20927
"hosp_rate","pm25","long.term",0,3.35588734740044e-08,4.57366782950474e-08,0.46312977568035,-120540.242686299,7613
